city,state_admin1,population,latitude,longitude,geonameid
League City,TX,98312,29.50745,-95.09493,4705692
Flint,MI,98310,43.01253,-83.68746,4992982
Allen,TX,98143,33.10317,-96.67055,4670300
Dorchester,MA,97826,42.29732,-71.0745,4934964
Mission Viejo,CA,97156,33.60002,-117.672,5373763
Vacaville,CA,96803,38.35658,-121.98774,5405228
Ventura,CA,96769,34.27834,-119.29317,5405878
Highlands Ranch,CO,96713,39.55388,-104.96943,5425043
Lawton,OK,96655,34.60869,-98.39033,4540737
Beaverton,OR,96577,45.48706,-122.80371,5713376
South Gate,CA,96401,33.95474,-118.21202,5397603
Portsmouth,VA,96201,36.83543,-76.29827,4779999
Sparks,NV,96094,39.53491,-119.75269,5512862
Yuma,AZ,95548,32.72532,-114.6244,5322053
Brockton,MA,95314,42.08343,-71.01838,4931429
Dearborn,MI,95171,42.32226,-83.17631,4990510
Federal Way,WA,95171,47.32232,-122.31262,5794245
Lee's Summit,MO,95094,38.91084,-94.38217,4394870
Asheville,NC,95056,35.60095,-82.55402,4453066
Spokane Valley,WA,94919,47.67323,-117.23937,5811729
Fordham,NY,94678,40.85927,-73.89847,5117549
Livonia,MI,94635,42.36837,-83.35271,4999837
Roswell,GA,94501,34.02316,-84.36159,4219934
Orem,UT,94457,40.2969,-111.69465,5779334
Fall River,MA,94000,41.70149,-71.15505,4936159
Lawrence,KS,93917,38.97167,-95.23525,4274277
The Woodlands,TX,93847,30.15799,-95.48938,4736476
West Albany,NY,93794,42.68313,-73.77845,5143620
Yakima,WA,93701,46.60207,-120.5059,5816605
Quincy,MA,93618,42.25288,-71.00227,4948247
Flatbush,NY,93361,40.65205,-73.95903,5117378
Hesperia,CA,93295,34.42639,-117.30088,5356576
Carson,CA,93281,33.83141,-118.28202,5334519
Boca Raton,FL,93235,26.35869,-80.0831,4148411
Santa Monica,CA,93220,34.01949,-118.49138,5393212
San Marcos,CA,92931,33.14337,-117.16614,5392368
Boyle Heights,CA,92785,34.0339,-118.20535,5330413
Plantation,FL,92560,26.13421,-80.23184,4168782
Lynn,MA,92457,42.46676,-70.94949,4942807
Miami Beach,FL,92312,25.79065,-80.13005,4164143
Arden-Arcade,CA,92186,38.6025,-121.37854,7260806
Westminster,CA,92114,33.75918,-118.00673,5408406
Longmont,CO,92088,40.16721,-105.10193,5579276
Santa Barbara,CA,91842,34.42083,-119.69819,5392952
Redding,CA,91582,40.58654,-122.39168,5570160
Macon,GA,91351,32.84069,-83.6324,4207400
Meridian,ID,90739,43.61211,-116.39151,5600685
San Leandro,CA,90712,37.72493,-122.15608,5392263
Greenville,NC,90597,35.61266,-77.36635,4469160
Edmond,OK,90092,35.65283,-97.4781,4535740
Chinatown,NY,90000,40.71649,-73.99625,5112540
Nampa,ID,89839,43.54072,-116.56346,5601933
Trenton,NJ,89620,40.21705,-74.74294,5105496
Sandy Hills,UT,89575,40.58106,-111.85077,5781070
Newton,MA,88817,42.33704,-71.20922,4945283
Toms River,NJ,88791,39.95373,-74.19792,4504476
Carmel,IN,88713,39.97837,-86.11804,4255466
Norwalk,CT,88485,41.1176,-73.4079,4839822
Waukegan,IL,88475,42.36363,-87.84479,4915734
Deltona,FL,88474,28.90054,-81.26367,4153146
Hawthorne,CA,88451,33.9164,-118.35257,5355828
Fort Smith,AR,88194,35.38592,-94.39855,4111410
Suffolk,VA,88161,36.72836,-76.58496,4788158
Sugar Land,TX,88156,29.61968,-95.63495,4734825
Livermore,CA,88126,37.68187,-121.76801,5367440
Nashua,NH,87970,42.76537,-71.46757,5090046
Reading,PA,87879,40.33565,-75.92687,5207728
Concord,NC,87696,35.40888,-80.58158,4461574
Indio,CA,87533,33.7207,-116.21677,5359446
Rio Rancho,NM,87521,35.23338,-106.66447,5487811
Enchanted Hills,NM,87521,35.33676,-106.59296,7839240
Santa Fe,NM,87505,35.68698,-105.9378,5490263
Sandy,UT,87461,40.59161,-111.8841,5781061
Whittier,CA,87438,33.97918,-118.03284,5409059
Canarsie,NY,87366,40.64372,-73.90069,5111412
